image_path,original_text,clean_text,entities
data\media\nevacomputer_8673_1725941642.jpg,,,{}
data\media\nevacomputer_8674_1725941642.jpg,,,{}
data\media\nevacomputer_8675_1725941861.jpg,,,{}
data\media\nevacomputer_8676_1725941862.jpg,,,{}
data\media\nevacomputer_8677_1725941862.jpg,,,{}
data\media\nevacomputer_8678_1725941862.jpg,,,{}
data\media\nevacomputer_8679_1725941862.jpg,,,{}
data\media\nevacomputer_8680_1725941862.jpg,,,{}
data\media\nevacomputer_8682_1727245870.jpg,,,{}
data\media\nevacomputer_8683_1727245870.jpg,,,{}
data\media\nevacomputer_8684_1727245870.jpg,,,{}
data\media\nevacomputer_8685_1727245870.jpg,,,{}
data\media\nevacomputer_8686_1727245870.jpg,,,{}
data\media\nevacomputer_8687_1727245870.jpg,,,{}
data\media\nevacomputer_8688_1727247647.jpg,,,{}
data\media\nevacomputer_8689_1727247647.jpg,,,{}
data\media\nevacomputer_8690_1727248555.jpg,,,{}
data\media\nevacomputer_8691_1727248555.jpg,,,{}
data\media\nevacomputer_8692_1728414472.jpg,,,{}
data\media\nevacomputer_8693_1728414472.jpg,,,{}
data\media\nevacomputer_8694_1728414472.jpg,,,{}
data\media\nevacomputer_8695_1728414472.jpg,,,{}
data\media\nevacomputer_8696_1728414472.jpg,,,{}
data\media\nevacomputer_8697_1729344703.jpg,,,{}
data\media\nevacomputer_8698_1733552903.jpg,,,{}
data\media\nevacomputer_8699_1733552903.jpg,,,{}
data\media\nevacomputer_8700_1733552903.jpg,"ጋይ መ
",ጋይ መ,"{'prices': [], 'phones': [], 'products': []}"
data\media\nevacomputer_8701_1733552903.jpg,,,{}
data\media\nevacomputer_8702_1733552903.jpg,,,{}
data\media\nevacomputer_8703_1733553071.jpg,,,{}
data\media\nevacomputer_8704_1733553072.jpg,,,{}
data\media\nevacomputer_8705_1733553072.jpg,,,{}
data\media\nevacomputer_8706_1733553072.jpg,,,{}
data\media\nevacomputer_8707_1733553196.jpg,,,{}
data\media\nevacomputer_8708_1733553196.jpg,,,{}
